timeframe,signal_date,ticker,rank,regime,regime_score,quality_score,rs_percentile,rs_excess,rsi,vol_ratio,vol_z,atr_pct,setup,signal_close,entry_trigger,planned_stop,planned_target,planned_rr,turnover20,triggered,outcome,entry_date,entry_price,exit_date,exit_price,hold_sessions,gross_r,net_r,resolved_date,setup_base,score_bucket,rs_bucket
1hari,2025-08-08,EXCL.JK,1,BULLISH,5,90.0,72.14611872146118,0.12334816664055315,63.58941102210105,1.6288363788411535,0.9964603399453832,0.029394900602032183,Bullish Pullback/Reclaim,2493.230712890625,2500.0,2390.0,2720.0,2.0,19521957852.563477,True,TARGET,2025-08-11,2500.0,2025-08-13,2720.0,3.0,2.0,1.9040909090909115,2025-08-13,Pullback,85+,70-79
1hari,2025-08-08,DEWI.JK,2,BULLISH,5,90.0,63.12785388127854,0.04277380431126687,64.16770537949144,1.2385950822771632,0.7587446511042942,0.028480532606402195,Bullish Pullback/Reclaim,104.0,104.0,99.0,114.0,2.0,5481664800.0,True,TARGET,2025-08-11,104.0,2025-08-27,114.0,12.0,2.0,1.9117999999999995,2025-08-27,Pullback,85+,60-69
1hari,2025-08-08,NSSS.JK,3,BULLISH,5,80.0,88.2420091324201,0.43032468127845624,77.78313293430175,1.3996716711145125,0.9705947456061984,0.037403060187499566,Breakout Confirmed,416.0297546386719,418.0,394.0,466.0,2.0,1932547294.1436768,True,TIME_EXIT,2025-08-11,418.0,2025-09-09,433.7751159667969,20.0,0.6572964986165365,0.5859865907033281,2025-09-09,Breakout,80-84,80-89
1hari,2025-08-11,KLAS.JK,1,BULLISH,5,100.0,64.99429874572405,0.0306859501307295,58.148093282891395,1.6906912490724504,1.4601400857264437,0.03985380582999217,Bullish Pullback/Reclaim,150.0,150.0,141.0,168.0,2.0,1959130800.0,True,STOP,2025-08-12,150.0,2025-08-21,141.0,7.0,-1.0,-1.0641666666666683,2025-08-21,Pullback,85+,60-69
1hari,2025-08-11,APLN.JK,2,BULLISH,5,100.0,64.65222348916761,0.025812582765796455,63.00456554729393,1.6421512623081858,1.043489554107721,0.03728578772929748,Bullish Pullback/Reclaim,106.0,106.0,100.0,118.0,2.0,1407452700.0,True,TARGET,2025-08-12,107.0,2025-08-28,118.0,12.0,1.5714285714285714,1.5063571428571427,2025-08-28,Pullback,85+,60-69
1hari,2025-08-11,WINS.JK,3,BULLISH,5,85.0,66.1345496009122,0.039856702454762694,61.810813447288616,0.8465090621724561,0.045565909029503145,0.030901236235564306,Bullish Engulfing,388.51007080078125,390.0,370.0,430.0,2.0,1061275639.4124756,True,TIME_EXIT,2025-08-12,390.0,2025-09-10,392.3951416015625,20.0,0.119757080078125,0.04145768737792821,2025-09-10,Other,85+,60-69
1hari,2025-08-12,JTPE.JK,1,BULLISH,5,90.0,78.70159453302962,0.1758228255755656,70.20756442458034,1.4301113662402494,0.8750457078963094,0.025275912284380173,Breakout Confirmed,266.0,268.0,256.0,292.0,2.0,1823328970.627594,True,TARGET,2025-08-14,268.0,2025-08-19,292.0,3.0,2.0,1.9056666666666662,2025-08-19,Breakout,85+,70-79
1hari,2025-08-12,AMMN.JK,2,BULLISH,5,80.0,66.51480637813212,0.02461168062640673,54.36802717909186,1.5712197089965723,1.1492850220067183,0.05597893725301488,Bullish Pullback/Reclaim,8475.0,8475.0,7750.0,9925.0,2.0,264374226250.0,True,STOP,2025-08-13,8500.0,2025-08-28,7750.0,11.0,-1.0,-1.0428333333333333,2025-08-28,Pullback,80-84,60-69
1hari,2025-08-12,TOBA.JK,3,BULLISH,5,75.0,98.74715261958997,1.6879460199564473,59.175295024631815,0.4636182725439531,-0.9113669531269938,0.07760486788480998,Bullish Pullback/Reclaim,1085.3455810546875,1090.0,960.0,1350.0,2.0,272898777174.60327,True,STOP,2025-08-13,1090.1909231025481,2025-08-20,960.0,5.0,-1.0,-1.0309951438125635,2025-08-20,Pullback,75-79,90+
1hari,2025-08-13,LIVE.JK,1,BULLISH,5,75.0,71.86788154897495,0.08347669388290191,66.34992017843811,0.7947779924145043,0.39609062101693404,0.04525934072603747,Bullish Engulfing,187.0,187.0,174.0,214.0,2.076923076923077,2368439150.0,True,STOP_GAP,2025-08-14,187.0,2025-09-01,173.0,12.0,-1.0769230769230769,-1.1317692307692324,2025-09-01,Other,75-79,70-79
